entry_index,timestamp,symbol,side,entry_price,source_close,proxy_bid,proxy_ask,spread_pct,signal_score_pct,threshold_pct,ari_threshold_pct,theo_threshold_pct,ari_clears,theo_clears,consistent,admission_score,required_score,mfe_240m_points,mae_240m_points,return_60m_points,mfe_60m_points,mae_60m_points,return_120m_points,mfe_120m_points,mae_120m_points,return_180m_points,mfe_180m_points,mae_180m_points,return_240m_points
7484,2025-05-22T10:00:00+00:00,XAUUSD,Sell,3289.370981,3289.699951,3289.370981,3290.028921,0.0002,-0.01139,0.0036,0.0036,0.0005,True,True,True,75,45,11.570932,-26.629019,-24.929068,7.17103,-25.629019,-14.229116,7.17103,-25.629019,2.471079,7.17103,-26.629019,-6.929068
7485,2025-05-22T11:00:00+00:00,XAUUSD,Sell,3313.968619,3314.300049,3313.968619,3314.631479,0.0002,-0.004206,0.0036,0.0036,0.0005,True,True,True,55,45,36.16857,-2.031381,10.368521,13.268668,-0.83143,27.068716,28.16857,-2.031381,17.66857,36.16857,-2.031381,19.968619
7487,2025-05-22T13:00:00+00:00,XAUUSD,Sell,3286.571212,3286.899902,3286.571212,3287.228592,0.0002,-0.005597,0.0036,0.0036,0.0005,True,False,True,65,45,8.771164,-17.628739,-9.728836,8.771164,-17.628739,-7.428788,8.771164,-17.628739,-14.32869,8.771164,-17.628739,-9.028885
7489,2025-05-22T15:00:00+00:00,XAUUSD,Sell,3293.6706,3294.0,3293.6706,3294.3294,0.0002,-0.006125,0.0036,0.0036,0.0005,True,True,True,65,45,5.970649,-10.429498,-7.229302,3.6706,-10.429498,-1.929498,4.1706,-10.429498,0.070502,4.1706,-10.429498,3.270698
7501,2025-05-23T04:00:00+00:00,XAUUSD,Buy,3313.3313,3313.0,3312.6687,3313.3313,0.0002,0.004,0.0036,0.0036,0.0005,True,False,True,55,45,21.068602,-1.431398,10.1687,12.068602,-1.431398,17.568602,18.6687,-1.431398,15.568602,21.068602,-1.431398,12.868651
7502,2025-05-23T05:00:00+00:00,XAUUSD,Buy,3323.83235,3323.5,3323.16765,3323.83235,0.0002,0.005963,0.0036,0.0036,0.0005,True,False,True,65,45,10.567552,-1.632399,7.067552,8.16765,-1.132399,5.067552,10.567552,-1.132399,2.367601,10.567552,-1.632399,4.66765
7503,2025-05-23T06:00:00+00:00,XAUUSD,Buy,3331.232992,3330.899902,3330.566812,3331.232992,0.0002,0.010742,0.0036,0.0036,0.0005,True,True,True,75,45,3.16691,-9.033041,-2.33309,3.16691,-5.132895,-5.033041,3.16691,-9.033041,-2.732992,3.16691,-9.033041,-3.033041
7504,2025-05-23T07:00:00+00:00,XAUUSD,Buy,3329.232792,3328.899902,3328.567012,3329.232792,0.0002,0.008208,0.0036,0.0036,0.0005,True,True,True,75,45,21.367305,-7.032841,-3.032841,0.067256,-7.032841,-0.732792,4.867305,-7.032841,-1.032841,4.867305,-7.032841,19.067256
7508,2025-05-23T11:00:00+00:00,XAUUSD,Buy,3348.634879,3348.300049,3347.965219,3348.634879,0.0002,0.005828,0.0036,0.0036,0.0005,True,False,False,45,45,17.065072,-12.434928,8.965219,12.365121,-4.034781,-8.434928,17.065072,-11.534781,11.065072,17.065072,-12.434928,12.965219
7509,2025-05-23T12:00:00+00:00,XAUUSD,Buy,3357.935858,3357.600098,3357.264338,3357.935858,0.0002,0.00944,0.0036,0.0036,0.0005,True,True,True,75,45,7.764094,-21.735906,-17.735906,7.764094,-20.83576,1.764094,7.764094,-21.735906,3.66424,7.764094,-21.735906,1.464045
7511,2025-05-23T14:00:00+00:00,XAUUSD,Buy,3360.035921,3359.699951,3359.363981,3360.035921,0.0002,0.009465,0.0036,0.0036,0.0005,True,True,True,75,45,6.464079,-7.935824,1.564176,2.764128,-7.935824,-0.636019,4.764128,-7.935824,2.964079,6.464079,-7.935824,1.66403
